Linux 3.16.0-38-generic (pgxl) 	10/06/2015 	_x86_64_	(4 CPU)

11:16:19 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:17:19 AM     all     11.41      0.15      2.56      8.84      0.00     77.04
11:18:19 AM     all     85.56      0.04      9.15      4.74      0.00      0.52
11:19:19 AM     all     77.07      0.03      9.33     12.62      0.00      0.94
11:20:19 AM     all     88.64      0.02      8.88      2.04      0.00      0.43
11:21:19 AM     all     31.08      0.02      4.69     55.58      0.00      8.64
11:22:19 AM     all     53.48      0.04      7.97     31.76      0.00      6.75
11:23:19 AM     all     49.87      0.10      5.41     29.62      0.00     15.00
11:24:19 AM     all     62.66      0.02      6.10     20.48      0.00     10.74
11:25:19 AM     all     62.18      0.05      6.00     20.80      0.00     10.96
11:26:19 AM     all     48.50      0.03      8.24     21.24      0.00     22.00
11:27:19 AM     all     63.83      0.22      9.38      2.41      0.00     24.15
11:28:19 AM     all     91.77      0.10      7.98      0.11      0.00      0.04
11:29:19 AM     all     90.51      0.09      7.95      1.14      0.00      0.31
11:30:19 AM     all     90.73      0.02      6.00      2.37      0.00      0.88
