ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,6547,10,pgxc,10.0.3.115,40088,2015-10-06 11:31:25.95174-04,,2015-10-06 11:31:26.04469-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:31:26.04648-04
946684800,6549,10,psql,10.0.3.115,40098,2015-10-06 11:31:25.990194-04,,2015-10-06 11:31:25.997723-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-10-06 11:31:25.997726-04
946684800,6550,10,psql,10.0.3.115,40099,2015-10-06 11:31:25.992201-04,,2015-10-06 11:31:26.019306-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-10-06 11:31:26.019309-04
946684800,6552,10,psql,10.0.3.115,40105,2015-10-06 11:31:25.994151-04,,2015-10-06 11:31:26.001315-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-10-06 11:31:26.001319-04
946684800,6553,10,psql,10.0.3.115,40109,2015-10-06 11:31:26.001799-04,,2015-10-06 11:31:26.02141-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-10-06 11:31:26.021414-04
946684800,6551,10,psql,10.0.3.115,40103,2015-10-06 11:31:25.993202-04,,2015-10-06 11:31:26.031906-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-10-06 11:31:26.031909-04
946684800,6547,10,pgxc,10.0.3.115,40088,2015-10-06 11:31:25.95174-04,2015-10-06 11:32:14.77808-04,2015-10-06 11:32:14.780127-04,f,Remote Subplan,active,2015-10-06 11:32:14.785285-04
946684800,6583,10,pgxc,127.0.0.1,34389,2015-10-06 11:31:40.847945-04,2015-10-06 11:32:14.77808-04,2015-10-06 11:32:25.918347-04,f,Remote Subplan,active,2015-10-06 11:32:25.925439-04
946684800,6584,10,pgxc,10.0.3.116,56047,2015-10-06 11:31:40.854267-04,2015-10-06 11:32:14.77808-04,2015-10-06 11:32:25.880527-04,f,Remote Subplan,active,2015-10-06 11:32:25.888487-04
946684800,6586,10,pgxc,127.0.0.1,34418,2015-10-06 11:32:14.790611-04,2015-10-06 11:32:14.77808-04,2015-10-06 11:32:25.99485-04,f,Remote Subplan,active,2015-10-06 11:32:26.01484-04
946684800,6587,10,pgxc,10.0.3.116,56076,2015-10-06 11:32:14.798512-04,2015-10-06 11:32:14.77808-04,2015-10-06 11:32:25.977396-04,f,Remote Subplan,active,2015-10-06 11:32:26.006936-04
946684800,6591,10,psql,10.0.3.115,40198,2015-10-06 11:32:26.007424-04,,2015-10-06 11:32:26.020331-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:32:26.020333-04
946684800,6597,10,pgxc,10.0.3.115,40273,2015-10-06 11:33:15.538593-04,2015-10-06 11:33:16.758679-04,2015-10-06 11:33:16.759398-04,f,Remote Subplan,active,2015-10-06 11:33:16.764294-04
946684800,6599,10,psql,10.0.3.115,40297,2015-10-06 11:33:26.008622-04,,2015-10-06 11:33:26.027539-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:33:26.027541-04
946684800,6600,10,psql,10.0.3.115,40299,2015-10-06 11:33:26.009637-04,,2015-10-06 11:33:26.024241-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:33:26.02426-04
946684800,6586,10,pgxc,127.0.0.1,34418,2015-10-06 11:32:14.790611-04,,2015-10-06 11:33:15.482849-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:33:15.490653-04
946684800,6587,10,pgxc,10.0.3.116,56076,2015-10-06 11:32:14.798512-04,,2015-10-06 11:33:15.483022-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:33:15.490759-04
946684800,6601,10,psql,10.0.3.115,40306,2015-10-06 11:33:26.013007-04,,2015-10-06 11:33:26.027588-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:33:26.02759-04
946684800,6603,10,psql,10.0.3.115,40313,2015-10-06 11:33:26.027035-04,,2015-10-06 11:33:26.034406-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:33:26.03441-04
946684800,6607,10,pgxc,127.0.0.1,34579,2015-10-06 11:33:46.868766-04,,2015-10-06 11:33:48.748767-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:33:48.775043-04
946684800,6608,10,pgxc,10.0.3.116,56237,2015-10-06 11:33:46.8707-04,,2015-10-06 11:33:48.74923-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:33:48.775004-04
946684800,6586,10,pgxc,127.0.0.1,34418,2015-10-06 11:32:14.790611-04,2015-10-06 11:34:21.908971-04,2015-10-06 11:34:25.964895-04,f,Remote Subplan,active,2015-10-06 11:34:25.971638-04
946684800,6587,10,pgxc,10.0.3.116,56076,2015-10-06 11:32:14.798512-04,2015-10-06 11:34:21.908971-04,2015-10-06 11:34:25.988689-04,f,Remote Subplan,active,2015-10-06 11:34:26.05215-04
946684800,6609,10,pgxc,127.0.0.1,34587,2015-10-06 11:33:46.89034-04,2015-10-06 11:34:21.908971-04,2015-10-06 11:34:25.985788-04,f,Remote Subplan,active,2015-10-06 11:34:26.049032-04
946684800,6610,10,pgxc,10.0.3.116,56245,2015-10-06 11:33:46.892062-04,2015-10-06 11:34:21.908971-04,2015-10-06 11:34:25.957501-04,f,Remote Subplan,active,2015-10-06 11:34:25.964993-04
946684800,6612,10,pgxc,10.0.3.115,40370,2015-10-06 11:34:20.669798-04,2015-10-06 11:34:21.908971-04,2015-10-06 11:34:21.91176-04,f,Remote Subplan,active,2015-10-06 11:34:21.916176-04
946684800,6617,10,psql,10.0.3.115,40408,2015-10-06 11:34:26.03216-04,,2015-10-06 11:34:26.044278-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:34:26.044282-04
946684800,6618,10,psql,10.0.3.115,40409,2015-10-06 11:34:26.034644-04,,2015-10-06 11:34:26.044594-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:34:26.044596-04
946684800,6622,10,pgxc,10.0.3.115,40504,2015-10-06 11:35:03.489772-04,2015-10-06 11:35:04.765731-04,2015-10-06 11:35:04.825517-04,f,Remote Subplan,active,2015-10-06 11:35:04.829686-04
946684800,6607,10,pgxc,127.0.0.1,34579,2015-10-06 11:33:46.868766-04,,2015-10-06 11:33:48.748767-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:33:48.775043-04
946684800,6608,10,pgxc,10.0.3.116,56237,2015-10-06 11:33:46.8707-04,,2015-10-06 11:33:48.74923-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:33:48.775004-04
946684800,6586,10,pgxc,127.0.0.1,34418,2015-10-06 11:32:14.790611-04,2015-10-06 11:35:04.765731-04,2015-10-06 11:35:26.036654-04,f,Remote Subplan,active,2015-10-06 11:35:26.04614-04
946684800,6587,10,pgxc,10.0.3.116,56076,2015-10-06 11:32:14.798512-04,2015-10-06 11:35:04.765731-04,2015-10-06 11:35:26.064989-04,f,Remote Subplan,active,2015-10-06 11:35:26.073667-04
946684800,6609,10,pgxc,127.0.0.1,34587,2015-10-06 11:33:46.89034-04,,2015-10-06 11:34:31.542508-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:34:31.605789-04
946684800,6610,10,pgxc,10.0.3.116,56245,2015-10-06 11:33:46.892062-04,,2015-10-06 11:34:31.598008-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:34:31.605558-04
946684800,6626,10,psql,10.0.3.115,40530,2015-10-06 11:35:26.03619-04,,2015-10-06 11:35:26.05291-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:35:26.052912-04
946684800,6624,10,psql,10.0.3.115,40527,2015-10-06 11:35:26.028152-04,,2015-10-06 11:35:26.055092-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2015-10-06 11:35:26.055095-04
